Respondent_ID;Age;Gender;Education_Level;Years_of_Study;GPA;Study_Hours_Per_Week;Learning_Style;Motivation_Level_Before;Motivation_Level_Mid_Semester;Motivation_Level_End_Semester;Anxiety_Level_Before;Anxiety_Level_Mid_Semester;Anxiety_Level_End_Semester;Satisfaction_with_Education_Before;Satisfaction_with_Education_Mid_Semester;Satisfaction_with_Education_End_Semester
1;32;Male;Master;2;0.13;10;Visual;9;10;10;5;7;9;2;5;6
2;36;Other;Master;2;3.75;17;Visual;5;8;10;3;5;7;2;4;6
3;31;Female;Master;4;3.48;30;Auditory;8;10;10;5;8;9;2;6;8
4;20;Other;Bachelor;4;2.4;11;Visual;4;7;10;3;5;8;1;5;8
5;27;Female;Associate;1;1.2;6;Kinesthetic;2;6;8;5;8;10;1;4;7
6;35;Male;Associate;3;3.24;2;Visual;1;5;6;3;7;8;1;5;6
7;39;Female;Bachelor;1;3.81;26;Visual;3;8;10;4;8;10;1;5;7
8;28;Other;Doctorate;3;3.41;13;Kinesthetic;7;10;10;4;8;10;2;5;6
9;22;Female;Master;3;0.51;17;Kinesthetic;8;10;10;3;6;9;2;4;6
10;37;Other;Bachelor;6;3.88;30;Visual;5;9;10;1;5;7;5;9;10
11;31;Other;Bachelor;3;2.23;15;Auditory;2;6;8;4;6;7;5;9;10
12;39;Male;High School;6;0.02;16;Visual;9;10;10;1;5;8;2;4;5
13;22;Female;Doctorate;5;0.54;5;Visual;10;10;10;3;6;8;2;4;7
14;36;Male;Doctorate;2;0.02;29;Auditory;5;10;10;5;9;10;3;6;7
15;26;Female;High School;6;3.27;5;Auditory;6;10;10;3;6;8;1;3;4
16;20;Female;High School;1;3.13;3;Kinesthetic;10;10;10;4;7;10;2;5;8
17;25;Female;High School;5;3.72;20;Auditory;6;10;10;3;5;7;2;5;7
18;24;Female;Doctorate;3;1.47;28;Auditory;7;10;10;1;3;6;3;5;7
19;27;Male;Doctorate;3;3.9;4;Kinesthetic;4;9;10;4;7;10;1;3;4
20;26;Female;Master;6;3.29;28;Auditory;6;10;10;1;3;5;2;4;5
21;36;Male;Associate;3;3.15;13;Visual;6;10;10;2;6;8;1;3;4
22;21;Female;Associate;3;2.49;9;Visual;9;10;10;2;5;8;5;7;8
23;31;Male;Master;6;3.87;7;Visual;3;8;10;3;5;7;4;6;7
24;34;Other;Associate;1;2;21;Kinesthetic;5;8;10;1;5;7;2;6;8
25;28;Female;High School;3;3.57;9;Auditory;10;10;10;3;5;7;4;8;10
26;24;Male;Bachelor;3;1.6;22;Kinesthetic;5;8;10;4;6;8;5;9;10
27;38;Other;Doctorate;6;1.79;29;Kinesthetic;9;10;10;1;5;6;3;6;8
28;29;Female;Bachelor;2;3.74;13;Auditory;6;10;10;3;6;9;1;3;4
29;32;Other;High School;5;2.73;28;Auditory;1;5;8;4;7;9;4;7;8
30;27;Female;Associate;5;0.07;14;Auditory;3;6;8;2;6;9;3;5;7
31;30;Other;Master;2;0.66;18;Visual;8;10;10;2;5;7;2;6;9
32;24;Other;Master;5;1.98;0;Kinesthetic;2;4;5;3;6;8;4;7;10
33;26;Male;High School;2;1.71;1;Kinesthetic;3;8;10;4;6;9;1;5;8
34;26;Female;Doctorate;3;3.97;14;Kinesthetic;10;10;10;4;7;9;4;8;10
35;27;Other;High School;1;3.56;9;Kinesthetic;1;6;8;3;7;10;3;6;7
36;40;Male;Master;3;1.38;4;Auditory;7;10;10;1;4;7;1;4;5
37;38;Male;Bachelor;6;2.82;4;Auditory;3;6;8;4;8;10;2;4;5
38;24;Other;Master;6;3.63;22;Visual;5;7;9;5;7;9;5;9;10
39;38;Female;Doctorate;3;2.71;16;Auditory;8;10;10;2;5;8;3;7;8
40;23;Other;Doctorate;5;2.56;16;Kinesthetic;9;10;10;3;6;8;2;5;6
41;19;Female;Master;5;0.6;25;Visual;1;4;5;3;5;6;4;7;9
42;22;Female;Bachelor;2;2.4;17;Kinesthetic;1;6;9;2;5;8;3;5;8
43;25;Female;Bachelor;4;1.09;1;Auditory;1;5;8;5;7;10;4;7;8
44;29;Male;Associate;3;1.83;26;Kinesthetic;5;7;9;2;5;7;3;7;8
45;30;Female;Doctorate;5;0.89;30;Auditory;8;10;10;4;8;10;1;4;6
46;35;Male;Doctorate;1;1.02;29;Visual;5;8;10;2;5;6;4;6;8
47;18;Male;High School;1;2.61;10;Visual;4;8;9;5;9;10;2;4;6
48;23;Male;Bachelor;5;1.89;4;Visual;4;7;10;5;8;9;4;8;9
49;38;Female;Associate;3;0.64;16;Auditory;5;10;10;2;5;6;1;5;7
50;32;Female;Bachelor;2;1.09;30;Visual;8;10;10;2;5;6;4;8;10
51;26;Other;Master;6;2.85;13;Auditory;9;10;10;2;6;9;4;6;8
52;32;Other;Associate;5;2.45;2;Visual;2;6;8;5;8;10;3;7;9
53;33;Male;Doctorate;6;0.53;9;Kinesthetic;8;10;10;3;7;9;1;5;6
54;37;Female;Bachelor;4;0.28;12;Visual;3;8;10;1;3;5;2;4;6
55;23;Female;Bachelor;1;3.87;24;Kinesthetic;3;7;8;5;7;8;2;4;5
56;28;Other;Associate;5;1.47;29;Kinesthetic;5;8;10;1;4;7;5;7;9
57;25;Other;Associate;5;2.71;30;Auditory;8;10;10;1;5;6;4;6;8
58;39;Other;Master;1;3.38;18;Auditory;5;9;10;1;5;8;3;6;8
59;39;Other;Associate;1;0.97;1;Auditory;7;10;10;2;6;8;1;3;5
60;24;Female;High School;5;0.14;27;Kinesthetic;10;10;10;3;6;8;1;3;5
61;33;Male;Master;6;2.38;16;Visual;9;10;10;5;8;9;5;9;10
62;34;Male;High School;6;3.34;8;Visual;8;10;10;4;7;10;1;4;6
63;39;Other;Doctorate;6;1.45;18;Kinesthetic;10;10;10;2;4;6;4;7;9
64;35;Male;Associate;4;1.33;17;Visual;6;10;10;4;7;10;2;6;8
65;34;Female;Doctorate;6;2.58;8;Visual;6;9;10;5;8;9;3;5;6
66;19;Female;Associate;6;3.83;29;Visual;4;7;9;1;3;4;4;7;8
67;21;Other;Associate;6;2.38;25;Auditory;9;10;10;3;6;9;4;8;10
68;30;Female;Bachelor;5;2.04;26;Visual;9;10;10;5;7;10;1;4;7
69;22;Male;Associate;6;0.62;25;Auditory;5;10;10;1;4;5;2;4;7
70;39;Other;Bachelor;4;3.38;21;Kinesthetic;1;4;5;4;8;9;4;7;9
71;36;Male;Bachelor;5;0.86;13;Visual;9;10;10;3;7;10;2;4;7
72;37;Male;High School;5;2.68;14;Kinesthetic;10;10;10;5;8;10;5;8;9
73;39;Other;High School;6;2.47;5;Visual;8;10;10;5;9;10;3;5;8
74;31;Female;Doctorate;1;0.2;7;Kinesthetic;5;8;10;3;5;7;3;6;7
75;40;Male;High School;2;3.8;27;Kinesthetic;9;10;10;1;4;5;2;4;6
76;20;Male;Doctorate;6;2.33;19;Auditory;7;10;10;3;7;10;4;7;8
77;25;Female;High School;5;3.44;1;Visual;10;10;10;2;5;7;2;5;7
78;33;Female;Associate;1;2.07;0;Kinesthetic;9;10;10;3;5;7;2;4;7
79;29;Female;High School;5;1.06;17;Kinesthetic;5;9;10;5;7;10;1;5;6
80;31;Female;Bachelor;4;2.39;6;Visual;10;10;10;5;8;10;5;9;10
81;20;Male;Bachelor;6;3.18;26;Auditory;8;10;10;2;5;7;3;5;8
82;31;Other;Master;3;2.76;6;Auditory;7;10;10;2;5;6;5;8;10
83;24;Other;Associate;4;1.92;3;Auditory;3;5;6;2;6;8;4;6;8
